"id","category","korean","vietnamese","vietnamesePlain","isEmergency","memo"
"taxi_2","taxiGrab","여기서 세워주세요","Làm ơn dừng ở đây.","Lam on dung o day.","false",""
"taxi_3","taxiGrab","빨리 가주세요","Làm ơn đi nhanh giúp tôi.","Lam on di nhanh giup toi.","false",""
"taxi_4","taxiGrab","천천히 가주세요","Làm ơn đi chậm thôi.","Lam on di cham thoi.","false",""
"taxi_5","taxiGrab","다른 길로 가주세요","Làm ơn đi đường khác.","Lam on di duong khac.","false",""
"taxi_6","taxiGrab","여기 맞나요?","Đây có đúng không?","Day co dung khong?","false",""
"taxi_7","taxiGrab","요금이 얼마예요?","Giá bao nhiêu?","Gia bao nhieu?","false",""
"taxi_8","taxiGrab","그랩 기사님 맞나요?","Anh là tài xế Grab phải không?","Anh la tai xe Grab phai khong?","false",""
"taxi_9","taxiGrab","번호판이 맞나요?","Biển số xe có đúng không?","Bien so xe co dung khong?","false",""
"taxi_10","taxiGrab","호텔로 가주세요","Làm ơn đưa tôi về khách sạn.","Lam on dua toi ve khach san.","false",""
"taxi_11","taxiGrab","공항으로 가주세요","Làm ơn đưa tôi ra sân bay.","Lam on dua toi ra san bay.","false",""
"taxi_12","taxiGrab","이 주소로 가주세요","Làm ơn đi đến địa chỉ này.","Lam on di den dia chi nay.","false",""
"taxi_13","taxiGrab","지도대로 가주세요","Làm ơn đi theo bản đồ.","Lam on di theo ban do.","false",""
"taxi_14","taxiGrab","길이 많이 막히나요?","Đường có kẹt xe nhiều không?","Duong co ket xe nhieu khong?","false",""
"taxi_15","taxiGrab","에어컨을 켜주세요","Làm ơn bật máy lạnh.","Lam on bat may lanh.","false",""
"taxi_16","taxiGrab","창문을 열어도 되나요?","Tôi mở cửa sổ được không?","Toi mo cua so duoc khong?","false",""
"taxi_17","taxiGrab","현금으로 결제할게요","Tôi sẽ trả bằng tiền mặt.","Toi se tra bang tien mat.","false",""
"taxi_18","taxiGrab","앱으로 결제했어요","Tôi đã thanh toán qua ứng dụng.","Toi da thanh toan qua ung dung.","false",""
"taxi_19","taxiGrab","잠깐 기다려 주세요","Làm ơn chờ tôi một chút.","Lam on cho toi mot chut.","false",""
"taxi_20","taxiGrab","트렁크를 열어주세요","Làm ơn mở cốp xe.","Lam on mo cop xe.","false",""
"food_1","foodOrder","고수 빼주세요","Làm ơn đừng cho rau mùi.","Lam on dung cho rau mui.","false",""
"food_2","foodOrder","맵지 않게 해주세요","Làm ơn đừng làm cay.","Lam on dung lam cay.","false",""
"food_3","foodOrder","돼지고기 말고요","Tôi không ăn thịt heo.","Toi khong an thit heo.","false",""
"food_4","foodOrder","포장해 주세요","Làm ơn đóng gói mang đi.","Lam on dong goi mang di.","false",""
"food_5","foodOrder","물 주세요","Làm ơn cho tôi nước.","Lam on cho toi nuoc.","false",""
"food_6","foodOrder","얼음 빼주세요","Làm ơn đừng cho đá.","Lam on dung cho da.","false",""
"food_7","foodOrder","계산해 주세요","Làm ơn tính tiền.","Lam on tinh tien.","false",""
"food_8","foodOrder","메뉴판 주세요","Làm ơn cho tôi xem thực đơn.","Lam on cho toi xem thuc don.","false",""
"food_9","foodOrder","추천 메뉴가 뭐예요?","Món nào được đề xuất?","Mon nao duoc de xuat?","false",""
"food_10","foodOrder","이거 하나 주세요","Cho tôi một phần món này.","Cho toi mot phan mon nay.","false",""
"food_11","foodOrder","두 개 주세요","Cho tôi hai phần.","Cho toi hai phan.","false",""
"food_12","foodOrder","덜 달게 해주세요","Làm ơn làm ít ngọt.","Lam on lam it ngot.","false",""
"food_13","foodOrder","소스를 따로 주세요","Làm ơn để nước sốt riêng.","Lam on de nuoc sot rieng.","false",""
"food_14","foodOrder","채식 메뉴가 있나요?","Có món chay không?","Co mon chay khong?","false",""
"food_15","foodOrder","해산물 알레르기가 있어요","Tôi bị dị ứng hải sản.","Toi bi di ung hai san.","false",""
"food_16","foodOrder","땅콩 빼주세요","Làm ơn đừng cho đậu phộng.","Lam on dung cho dau phong.","false",""
"food_17","foodOrder","젓가락 주세요","Làm ơn cho tôi đũa.","Lam on cho toi dua.","false",""
"food_18","foodOrder","숟가락 주세요","Làm ơn cho tôi muỗng.","Lam on cho toi muong.","false",""
"food_19","foodOrder","화장실이 어디예요?","Nhà vệ sinh ở đâu?","Nha ve sinh o dau?","false",""
"food_20","foodOrder","영수증 주세요","Làm ơn cho tôi hóa đơn.","Lam on cho toi hoa don.","false",""
"price_1","priceNegotiation","너무 비싸요","Đắt quá.","Dat qua.","false",""
"price_2","priceNegotiation","좀 깎아주세요","Làm ơn giảm giá một chút.","Lam on giam gia mot chut.","false",""
"price_3","priceNegotiation","다른 데는 더 싸요","Nơi khác rẻ hơn.","Noi khac re hon.","false",""
"price_4","priceNegotiation","현금으로 할게요","Tôi sẽ trả bằng tiền mặt.","Toi se tra bang tien mat.","false",""
"price_5","priceNegotiation","마지막 가격 얼마예요?","Giá cuối cùng là bao nhiêu?","Gia cuoi cung la bao nhieu?","false",""
"price_6","priceNegotiation","그냥 볼게요","Tôi chỉ xem thôi.","Toi chi xem thoi.","false",""
"price_7","priceNegotiation","생각해볼게요","Tôi sẽ suy nghĩ thêm.","Toi se suy nghi them.","false",""
"price_8","priceNegotiation","얼마예요?","Bao nhiêu tiền?","Bao nhieu tien?","false",""
"price_9","priceNegotiation","이 가격 맞나요?","Giá này đúng không?","Gia nay dung khong?","false",""
"price_10","priceNegotiation","너무 비싸서 못 사요","Đắt quá nên tôi không mua được.","Dat qua nen toi khong mua duoc.","false",""
"price_11","priceNegotiation","조금만 더 싸게 해주세요","Làm ơn giảm thêm một chút.","Lam on giam them mot chut.","false",""
"price_12","priceNegotiation","두 개 사면 얼마예요?","Mua hai cái thì bao nhiêu?","Mua hai cai thi bao nhieu?","false",""
"price_13","priceNegotiation","카드 결제 되나요?","Có thanh toán bằng thẻ được không?","Co thanh toan bang the duoc khong?","false",""
"price_14","priceNegotiation","계좌이체 되나요?","Có chuyển khoản được không?","Co chuyen khoan duoc khong?","false",""
"price_15","priceNegotiation","잔돈 주세요","Làm ơn trả tiền thừa cho tôi.","Lam on tra tien thua cho toi.","false",""
"price_16","priceNegotiation","영수증 주세요","Làm ơn cho tôi hóa đơn.","Lam on cho toi hoa don.","false",""
"price_17","priceNegotiation","다른 색이 있나요?","Có màu khác không?","Co mau khac khong?","false",""
"price_18","priceNegotiation","다른 사이즈가 있나요?","Có kích cỡ khác không?","Co kich co khac khong?","false",""
"price_19","priceNegotiation","환불할 수 있나요?","Tôi có thể hoàn tiền không?","Toi co the hoan tien khong?","false",""
"price_20","priceNegotiation","교환할 수 있나요?","Tôi có thể đổi hàng không?","Toi co the doi hang khong?","false",""
"emergency_1","emergency","도와주세요","Làm ơn cứu tôi.","Lam on cuu toi.","true",""
"emergency_2","emergency","경찰 불러주세요","Làm ơn gọi cảnh sát.","Lam on goi canh sat.","true",""
"emergency_3","emergency","병원 가야 해요","Tôi cần đến bệnh viện ngay.","Toi can den benh vien ngay.","true",""
"emergency_4","emergency","사고가 났어요","Đã có tai nạn.","Da co tai nan.","true",""
"emergency_5","emergency","지갑을 잃어버렸어요","Tôi bị mất ví.","Toi bi mat vi.","true",""
"emergency_6","emergency","휴대폰을 잃어버렸어요","Tôi bị mất điện thoại.","Toi bi mat dien thoai.","true",""
"emergency_7","emergency","지금 녹음하고 있어요","Tôi đang ghi âm bây giờ.","Toi dang ghi am bay gio.","true",""
"emergency_8","emergency","긴급 상황이에요","Đây là trường hợp khẩn cấp.","Day la truong hop khan cap.","true",""
"emergency_9","emergency","구급차를 불러주세요","Làm ơn gọi xe cấp cứu.","Lam on goi xe cap cuu.","true",""
"emergency_10","emergency","한국 대사관에 연락해 주세요","Làm ơn liên hệ Đại sứ quán Hàn Quốc.","Lam on lien he Dai su quan Han Quoc.","true",""
"emergency_11","emergency","저를 따라오지 마세요","Đừng đi theo tôi.","Dung di theo toi.","true",""
"emergency_12","emergency","만지지 마세요","Đừng chạm vào tôi.","Dung cham vao toi.","true",""
"emergency_13","emergency","저는 한국 사람입니다","Tôi là người Hàn Quốc.","Toi la nguoi Han Quoc.","true",""
"emergency_14","emergency","여권을 잃어버렸어요","Tôi bị mất hộ chiếu.","Toi bi mat ho chieu.","true",""
"emergency_15","emergency","카드를 잃어버렸어요","Tôi bị mất thẻ.","Toi bi mat the.","true",""
"emergency_16","emergency","돈을 도난당했어요","Tôi bị mất trộm tiền.","Toi bi mat trom tien.","true",""
"emergency_17","emergency","제 가방을 도난당했어요","Tôi bị mất trộm túi.","Toi bi mat trom tui.","true",""
"emergency_18","emergency","여기서 나가고 싶어요","Tôi muốn ra khỏi đây.","Toi muon ra khoi day.","true",""
"emergency_19","emergency","안전한 곳으로 데려가 주세요","Làm ơn đưa tôi đến nơi an toàn.","Lam on dua toi den noi an toan.","true",""
"emergency_20","emergency","이 번호로 전화해 주세요","Làm ơn gọi số này giúp tôi.","Lam on goi so nay giup toi.","true",""
"common_1","commonPhrases","안녕하세요","Xin chào.","Xin chao.","false",""
"common_2","commonPhrases","감사합니다","Cảm ơn.","Cam on.","false",""
"common_3","commonPhrases","괜찮아요","Không sao đâu.","Khong sao dau.","false",""
"common_4","commonPhrases","이해했어요","Tôi hiểu rồi.","Toi hieu roi.","false",""
"common_5","commonPhrases","이해 못 했어요","Tôi chưa hiểu.","Toi chua hieu.","false",""
"common_6","commonPhrases","다시 말해 주세요","Làm ơn nói lại.","Lam on noi lai.","false",""
"common_7","commonPhrases","천천히 말해 주세요","Làm ơn nói chậm thôi.","Lam on noi cham thoi.","false",""
"common_8","commonPhrases","죄송합니다","Xin lỗi.","Xin loi.","false",""
"common_9","commonPhrases","괜찮습니다","Không sao.","Khong sao.","false",""
"common_10","commonPhrases","네","Vâng.","Vang.","false",""
"common_11","commonPhrases","아니요","Không.","Khong.","false",""
"common_12","commonPhrases","잠깐만요","Chờ một chút.","Cho mot chut.","false",""
"common_13","commonPhrases","저는 베트남어를 잘 못해요","Tôi không nói tiếng Việt giỏi.","Toi khong noi tieng Viet gioi.","false",""
"common_14","commonPhrases","한국어 할 수 있나요?","Bạn có nói tiếng Hàn được không?","Ban co noi tieng Han duoc khong?","false",""
"common_15","commonPhrases","영어 할 수 있나요?","Bạn có nói tiếng Anh được không?","Ban co noi tieng Anh duoc khong?","false",""
"common_16","commonPhrases","이걸 보여드릴게요","Tôi sẽ cho bạn xem cái này.","Toi se cho ban xem cai nay.","false",""
"common_17","commonPhrases","여기가 어디예요?","Đây là đâu?","Day la dau?","false",""
"common_18","commonPhrases","도와주실 수 있나요?","Bạn có thể giúp tôi không?","Ban co the giup toi khong?","false",""
"common_19","commonPhrases","사진을 찍어도 되나요?","Tôi chụp ảnh được không?","Toi chup anh duoc khong?","false",""
"common_20","commonPhrases","와이파이 비밀번호가 뭐예요?","Mật khẩu Wi-Fi là gì?","Mat khau Wi-Fi la gi?","false",""
